State,Year,Month,Civilian non-institutional population,Civilian labor force,Employed,Unemployed
Maine,1995,5,"954,494","635,190","596,815","38,375"
Maryland,1995,5,"3,817,604","2,710,114","2,573,754","136,360"
Massachusetts,1995,5,"4,742,354","3,212,440","3,039,754","172,686"
Michigan,1995,5,"7,276,485","4,817,370","4,550,729","266,641"
Minnesota,1995,5,"3,481,529","2,599,328","2,502,265","97,063"
Mississippi,1995,5,"1,998,623","1,255,805","1,178,160","77,645"
Missouri,1995,5,"4,042,801","2,864,118","2,724,036","140,082"
Montana,1995,5,"653,807","441,752","416,883","24,869"
Nebraska,1995,5,"1,227,844","900,471","876,690","23,781"
Nevada,1995,5,"1,214,165","838,290","791,327","46,963"
New Hampshire,1995,5,"877,222","630,578","604,972","25,606"
New Jersey,1995,5,"6,189,585","4,118,462","3,852,248","266,214"
New Mexico,1995,5,"1,250,795","796,725","745,771","50,954"
New York,1995,5,"14,187,257","8,654,154","8,105,053","549,101"
New York city,1995,5,"5,922,351","3,284,509","3,016,620","267,889"
North Carolina,1995,5,"5,585,660","3,746,215","3,584,799","161,416"
North Dakota,1995,5,"477,679","338,680","327,864","10,816"
Ohio,1995,5,"8,473,410","5,580,164","5,315,834","264,330"
Oklahoma,1995,5,"2,450,271","1,552,573","1,481,555","71,018"
Oregon,1995,5,"2,440,582","1,668,127","1,586,973","81,154"
Pennsylvania,1995,5,"9,372,651","5,898,056","5,552,511","345,545"
Rhode Island,1995,5,"783,737","511,342","477,939","33,403"
South Carolina,1995,5,"2,808,568","1,851,884","1,758,642","93,242"
South Dakota,1995,5,"536,774","386,436","374,819","11,617"
Tennessee,1995,5,"4,065,680","2,731,349","2,587,458","143,891"
Texas,1995,5,"13,781,088","9,557,531","8,979,518","578,013"
Utah,1995,5,"1,400,147","1,009,063","973,365","35,698"
Vermont,1995,5,"447,584","319,135","305,574","13,561"
Virginia,1995,5,"4,972,297","3,460,886","3,305,287","155,599"
Washington,1995,5,"4,108,808","2,810,903","2,629,235","181,668"
West Virginia,1995,5,"1,433,972","782,738","721,151","61,587"
Wisconsin,1995,5,"3,901,607","2,877,219","2,769,263","107,956"
Wyoming,1995,5,"358,396","255,002","242,788","12,214"
Alabama,1995,6,"3,250,938","2,070,177","1,942,725","127,452"
Alaska,1995,6,"415,431","303,239","281,509","21,730"
Arizona,1995,6,"3,343,730","2,233,479","2,113,832","119,647"
Arkansas,1995,6,"1,911,177","1,233,709","1,174,929","58,780"
California,1995,6,"23,251,041","15,232,334","14,019,657","1,212,677"
Los Angeles County,1995,6,"6,682,993","4,269,513","3,930,643","338,870"
Colorado,1995,6,"2,887,515","2,121,617","2,035,485","86,132"
Connecticut,1995,6,"2,549,563","1,732,659","1,636,205","96,454"
Delaware,1995,6,"555,020","386,127","369,712","16,415"
District of Columbia,1995,6,"457,130","300,081","273,103","26,978"
Florida,1995,6,"11,322,444","7,035,498","6,645,518","389,980"
Georgia,1995,6,"5,452,718","3,682,026","3,495,898","186,128"
Hawaii,1995,6,"866,657","587,287","552,189","35,098"
Idaho,1995,6,"856,008","600,035","567,632","32,403"
Illinois,1995,6,"9,035,428","6,169,533","5,847,071","322,462"
Indiana,1995,6,"4,428,448","3,136,886","2,988,599","148,287"
Iowa,1995,6,"2,176,655","1,583,202","1,527,896","55,306"
Kansas,1995,6,"1,919,780","1,349,848","1,289,328","60,520"
Kentucky,1995,6,"2,954,286","1,858,667","1,755,323","103,344"
Louisiana,1995,6,"3,191,405","1,957,818","1,820,063","137,755"
Maine,1995,6,"955,471","637,364","599,145","38,219"
Maryland,1995,6,"3,819,428","2,711,693","2,573,988","137,705"
Massachusetts,1995,6,"4,745,344","3,212,984","3,041,126","171,858"
Michigan,1995,6,"7,281,184","4,816,465","4,551,474","264,991"
Minnesota,1995,6,"3,486,214","2,601,710","2,505,429","96,281"
Mississippi,1995,6,"2,000,725","1,257,535","1,178,191","79,344"
Missouri,1995,6,"4,046,383","2,864,649","2,725,269","139,380"
Montana,1995,6,"655,774","442,582","417,591","24,991"
Nebraska,1995,6,"1,230,088","901,878","877,755","24,123"
Nevada,1995,6,"1,220,090","842,284","795,543","46,741"
New Hampshire,1995,6,"878,318","630,969","605,547","25,422"
New Jersey,1995,6,"6,192,764","4,122,382","3,854,259","268,123"
New Mexico,1995,6,"1,253,008","797,504","746,022","51,482"
New York,1995,6,"14,188,338","8,654,069","8,100,273","553,796"
New York city,1995,6,"5,924,481","3,290,491","3,018,672","271,819"
North Carolina,1995,6,"5,596,148","3,751,445","3,587,160","164,285"
North Dakota,1995,6,"477,751","339,650","328,909","10,741"
Ohio,1995,6,"8,477,339","5,589,736","5,317,856","271,880"
Oklahoma,1995,6,"2,451,460","1,553,350","1,481,992","71,358"
Oregon,1995,6,"2,444,853","1,670,402","1,588,627","81,775"
Pennsylvania,1995,6,"9,374,261","5,901,019","5,553,542","347,477"
Rhode Island,1995,6,"783,225","511,006","478,014","32,992"
South Carolina,1995,6,"2,812,546","1,855,284","1,760,584","94,700"
South Dakota,1995,6,"536,863","386,991","375,298","11,693"
Tennessee,1995,6,"4,071,275","2,734,622","2,586,680","147,942"
Texas,1995,6,"13,802,689","9,574,102","8,987,870","586,232"
Utah,1995,6,"1,404,596","1,010,865","975,427","35,438"
Vermont,1995,6,"447,608","319,517","305,822","13,695"
Virginia,1995,6,"4,978,425","3,455,196","3,297,824","157,372"
Washington,1995,6,"4,116,051","2,814,027","2,630,862","183,165"
West Virginia,1995,6,"1,433,848","784,072","721,537","62,535"
Wisconsin,1995,6,"3,905,062","2,881,281","2,773,790","107,491"
Wyoming,1995,6,"358,418","255,110","242,846","12,264"
Alabama,1995,7,"3,252,740","2,071,540","1,944,371","127,169"
Alaska,1995,7,"416,422","303,844","281,875","21,969"
Arizona,1995,7,"3,354,514","2,239,869","2,120,606","119,263"
Arkansas,1995,7,"1,913,589","1,234,815","1,175,685","59,130"
California,1995,7,"23,257,132","15,245,982","14,031,628","1,214,354"
Los Angeles County,1995,7,"6,680,202","4,273,229","3,929,402","343,827"
Colorado,1995,7,"2,895,493","2,127,527","2,040,160","87,367"
Connecticut,1995,7,"2,550,026","1,730,597","1,635,123","95,474"
Delaware,1995,7,"556,097","386,105","369,485","16,620"
District of Columbia,1995,7,"456,496","299,491","272,502","26,989"
Florida,1995,7,"11,341,800","7,044,713","6,651,054","393,659"
Georgia,1995,7,"5,463,729","3,691,197","3,502,330","188,867"
Hawaii,1995,7,"867,788","587,091","551,425","35,666"
Idaho,1995,7,"859,008","600,835","568,195","32,640"
Illinois,1995,7,"9,039,677","6,172,104","5,849,867","322,237"
Indiana,1995,7,"4,432,015","3,135,418","2,989,256","146,162"
Iowa,1995,7,"2,178,983","1,584,653","1,529,384","55,269"
Kansas,1995,7,"1,921,792","1,349,314","1,289,882","59,432"
Kentucky,1995,7,"2,957,335","1,859,800","1,755,169","104,631"
Louisiana,1995,7,"3,193,427","1,957,183","1,821,972","135,211"
Maine,1995,7,"955,448","639,351","601,318","38,033"
Maryland,1995,7,"3,822,253","2,713,067","2,574,774","138,293"
Massachusetts,1995,7,"4,748,335","3,214,255","3,043,557","170,698"
Michigan,1995,7,"7,286,884","4,814,355","4,554,084","260,271"
Minnesota,1995,7,"3,489,899","2,604,297","2,508,775","95,522"
Mississippi,1995,7,"2,003,827","1,259,815","1,179,183","80,632"
Missouri,1995,7,"4,049,964","2,865,249","2,727,889","137,360"
Montana,1995,7,"656,740","443,562","418,378","25,184"
Nebraska,1995,7,"1,231,332","903,210","878,887","24,323"
Nevada,1995,7,"1,225,016","846,279","799,715","46,564"
New Hampshire,1995,7,"879,413","631,369","606,241","25,128"
New Jersey,1995,7,"6,195,942","4,125,828","3,857,454","268,374"
New Mexico,1995,7,"1,255,220","798,683","746,530","52,153"
New York,1995,7,"14,190,419","8,656,212","8,099,536","556,676"
New York city,1995,7,"5,926,711","3,296,059","3,021,722","274,337"
North Carolina,1995,7,"5,605,635","3,758,905","3,593,380","165,525"
North Dakota,1995,7,"478,823","340,682","329,925","10,757"
Ohio,1995,7,"8,482,268","5,598,452","5,321,259","277,193"
Oklahoma,1995,7,"2,453,649","1,554,833","1,483,161","71,672"
Oregon,1995,7,"2,449,123","1,672,732","1,590,648","82,084"
Pennsylvania,1995,7,"9,376,871","5,906,086","5,557,790","348,296"
Rhode Island,1995,7,"783,713","510,831","478,360","32,471"
South Carolina,1995,7,"2,815,524","1,858,814","1,762,503","96,311"
South Dakota,1995,7,"537,952","387,620","375,846","11,774"
Tennessee,1995,7,"4,077,870","2,737,424","2,587,727","149,697"
Texas,1995,7,"13,824,291","9,591,059","8,999,216","591,843"
Utah,1995,7,"1,408,044","1,012,954","977,759","35,195"
Vermont,1995,7,"448,633","319,949","306,127","13,822"
Virginia,1995,7,"4,983,552","3,450,232","3,291,725","158,507"
Washington,1995,7,"4,123,295","2,815,922","2,632,082","183,840"
West Virginia,1995,7,"1,434,725","785,351","722,236","63,115"
Wisconsin,1995,7,"3,909,518","2,885,176","2,777,957","107,219"
Wyoming,1995,7,"358,439","255,290","242,968","12,322"
Alabama,1995,8,"3,256,542","2,071,980","1,946,204","125,776"
Alaska,1995,8,"416,414","304,540","282,249","22,291"
Arizona,1995,8,"3,364,298","2,244,541","2,125,845","118,696"
Arkansas,1995,8,"1,916,001","1,237,244","1,177,585","59,659"
California,1995,8,"23,274,224","15,259,718","14,048,415","1,211,303"
Los Angeles County,1995,8,"6,681,211","4,279,030","3,930,646","348,384"
Colorado,1995,8,"2,901,470","2,133,672","2,045,503","88,169"
Connecticut,1995,8,"2,550,489","1,729,141","1,634,844","94,297"
Delaware,1995,8,"557,173","386,024","369,184","16,840"
District of Columbia,1995,8,"455,861","298,945","272,077","26,868"
Florida,1995,8,"11,362,155","7,054,662","6,658,902","395,760"
Georgia,1995,8,"5,475,739","3,699,090","3,510,115","188,975"
Hawaii,1995,8,"868,919","586,645","550,742","35,903"
Idaho,1995,8,"860,009","601,733","568,948","32,785"
Illinois,1995,8,"9,045,926","6,176,998","5,855,541","321,457"
Indiana,1995,8,"4,436,582","3,134,524","2,990,658","143,866"
Iowa,1995,8,"2,180,311","1,586,799","1,531,786","55,013"
Kansas,1995,8,"1,923,803","1,348,734","1,290,628","58,106"
Kentucky,1995,8,"2,960,385","1,859,790","1,755,018","104,772"
Louisiana,1995,8,"3,196,448","1,956,903","1,823,885","133,018"
Maine,1995,8,"956,425","641,047","603,302","37,745"
Maryland,1995,8,"3,825,078","2,713,931","2,575,569","138,362"
Massachusetts,1995,8,"4,751,325","3,215,482","3,046,416","169,066"
Michigan,1995,8,"7,294,584","4,811,726","4,557,646","254,080"
Minnesota,1995,8,"3,494,584","2,607,286","2,512,192","95,094"
Mississippi,1995,8,"2,005,929","1,261,710","1,180,556","81,154"
Missouri,1995,8,"4,053,546","2,865,384","2,731,017","134,367"
Montana,1995,8,"657,706","444,555","419,118","25,437"
Nebraska,1995,8,"1,232,575","904,382","880,007","24,375"
Nevada,1995,8,"1,230,942","850,080","803,625","46,455"
New Hampshire,1995,8,"880,509","631,817","607,069","24,748"
New Jersey,1995,8,"6,201,120","4,128,540","3,861,188","267,352"
New Mexico,1995,8,"1,258,432","800,123","747,147","52,976"
New York,1995,8,"14,195,500","8,659,665","8,101,908","557,757"
New York city,1995,8,"5,930,641","3,300,994","3,025,140","275,854"
North Carolina,1995,8,"5,616,122","3,768,177","3,602,043","166,134"
North Dakota,1995,8,"478,895","341,663","330,865","10,798"
Ohio,1995,8,"8,486,198","5,605,560","5,324,796","280,764"
Oklahoma,1995,8,"2,455,838","1,556,443","1,484,825","71,618"
Oregon,1995,8,"2,454,394","1,675,245","1,592,912","82,333"
Pennsylvania,1995,8,"9,380,481","5,912,285","5,563,618","348,667"
Rhode Island,1995,8,"784,202","510,780","478,904","31,876"
South Carolina,1995,8,"2,818,502","1,862,152","1,764,262","97,890"
South Dakota,1995,8,"539,041","388,264","376,428","11,836"
Tennessee,1995,8,"4,084,465","2,738,908","2,589,821","149,087"
Texas,1995,8,"13,846,892","9,606,369","9,011,574","594,795"
Utah,1995,8,"1,412,493","1,015,155","980,279","34,876"
Vermont,1995,8,"448,657","320,401","306,490","13,911"
Virginia,1995,8,"4,989,680","3,445,173","3,286,146","159,027"
Washington,1995,8,"4,129,538","2,817,269","2,633,110","184,159"
West Virginia,1995,8,"1,434,601","786,459","723,165","63,294"
Wisconsin,1995,8,"3,913,973","2,888,842","2,781,382","107,460"
Wyoming,1995,8,"359,461","255,532","243,155","12,377"
Alabama,1995,9,"3,259,344","2,071,273","1,948,061","123,212"
Alaska,1995,9,"417,405","305,218","282,572","22,646"
Arizona,1995,9,"3,374,082","2,247,714","2,129,366","118,348"
Arkansas,1995,9,"1,918,412","1,240,309","1,180,034","60,275"
California,1995,9,"23,292,316","15,270,532","14,064,877","1,205,655"
Los Angeles County,1995,9,"6,682,620","4,285,133","3,932,698","352,435"
Colorado,1995,9,"2,908,448","2,139,306","2,050,601","88,705"
Connecticut,1995,9,"2,551,952","1,728,095","1,634,921","93,174"
Delaware,1995,9,"558,249","385,892","368,740","17,152"
District of Columbia,1995,9,"456,227","298,322","271,700","26,622"
Florida,1995,9,"11,383,510","7,063,035","6,667,219","395,816"
Georgia,1995,9,"5,486,750","3,705,241","3,518,423","186,818"
Hawaii,1995,9,"869,050","586,262","550,338","35,924"
Idaho,1995,9,"862,009","602,779","569,931","32,848"
Illinois,1995,9,"9,052,175","6,183,530","5,861,723","321,807"
Indiana,1995,9,"4,441,150","3,133,643","2,990,971","142,672"
Iowa,1995,9,"2,181,639","1,589,182","1,534,435","54,747"
Kansas,1995,9,"1,925,815","1,347,931","1,291,221","56,710"
Kentucky,1995,9,"2,963,435","1,858,686","1,754,667","104,019"
Louisiana,1995,9,"3,198,469","1,956,941","1,825,221","131,720"
Maine,1995,9,"956,401","642,499","605,182","37,317"
Maryland,1995,9,"3,828,902","2,714,213","2,575,751","138,462"
Massachusetts,1995,9,"4,754,315","3,216,059","3,049,070","166,989"
Michigan,1995,9,"7,302,284","4,809,222","4,561,475","247,747"
Minnesota,1995,9,"3,499,269","2,610,669","2,515,478","95,191"
Mississippi,1995,9,"2,008,030","1,262,550","1,181,620","80,930"
Missouri,1995,9,"4,058,127","2,864,907","2,733,807","131,100"
Montana,1995,9,"658,673","445,316","419,698","25,618"
Nebraska,1995,9,"1,233,819","905,456","881,062","24,394"
Nevada,1995,9,"1,235,867","853,603","807,235","46,368"
New Hampshire,1995,9,"882,605","632,337","607,974","24,363"
New Jersey,1995,9,"6,206,298","4,130,493","3,864,736","265,757"
New Mexico,1995,9,"1,260,644","801,645","747,677","53,968"
New York,1995,9,"14,200,581","8,662,646","8,106,073","556,573"
New York city,1995,9,"5,934,871","3,304,861","3,028,447","276,414"
North Carolina,1995,9,"5,627,609","3,778,597","3,611,539","167,058"
North Dakota,1995,9,"479,967","342,538","331,734","10,804"
Ohio,1995,9,"8,491,127","5,610,804","5,327,515","283,289"
Oklahoma,1995,9,"2,459,027","1,557,928","1,486,605","71,323"
Oregon,1995,9,"2,458,664","1,678,210","1,595,277","82,933"
Pennsylvania,1995,9,"9,385,091","5,918,235","5,568,915","349,320"
Rhode Island,1995,9,"784,690","510,760","479,515","31,245"
South Carolina,1995,9,"2,822,480","1,864,868","1,765,616","99,252"
South Dakota,1995,9,"539,129","388,874","376,986","11,888"
Tennessee,1995,9,"4,091,060","2,739,091","2,592,010","147,081"
Texas,1995,9,"13,869,493","9,618,449","9,022,864","595,585"
Utah,1995,9,"1,416,941","1,017,351","982,839","34,512"
Vermont,1995,9,"449,682","320,866","306,917","13,949"
Virginia,1995,9,"4,996,808","3,439,224","3,279,997","159,227"
Washington,1995,9,"4,135,781","2,818,658","2,634,294","184,364"
West Virginia,1995,9,"1,435,478","787,469","724,188","63,281"
Wisconsin,1995,9,"3,918,429","2,892,414","2,783,948","108,466"
Wyoming,1995,9,"359,482","255,770","243,380","12,390"
Alabama,1995,10,"3,263,146","2,069,833","1,949,801","120,032"
Alaska,1995,10,"417,396","305,806","282,827","22,979"
Arizona,1995,10,"3,384,865","2,250,174","2,131,655","118,519"
Arkansas,1995,10,"1,920,824","1,243,190","1,182,297","60,893"
California,1995,10,"23,311,407","15,277,933","14,077,484","1,200,449"
Los Angeles County,1995,10,"6,684,429","4,290,244","3,933,847","356,397"
Colorado,1995,10,"2,915,425","2,143,813","2,054,614","89,199"
Connecticut,1995,10,"2,553,415","1,727,298","1,634,985","92,313"
Delaware,1995,10,"558,325","385,744","368,130","17,614"
District of Columbia,1995,10,"455,592","297,669","271,370","26,299"
Florida,1995,10,"11,405,865","7,069,141","6,674,603","394,538"
Georgia,1995,10,"5,498,761","3,709,988","3,526,512","183,476"
Hawaii,1995,10,"870,181","586,287","550,383","35,904"
Idaho,1995,10,"864,009","603,967","571,062","32,905"
Illinois,1995,10,"9,059,424","6,190,234","5,866,491","323,743"
Indiana,1995,10,"4,446,717","3,131,750","2,989,006","142,744"
Iowa,1995,10,"2,182,967","1,591,482","1,536,746","54,736"
Kansas,1995,10,"1,927,827","1,347,051","1,291,462","55,589"
Kentucky,1995,10,"2,966,485","1,856,883","1,754,054","102,829"
Louisiana,1995,10,"3,201,491","1,957,394","1,825,841","131,553"
Maine,1995,10,"957,378","643,886","607,057","36,829"
Maryland,1995,10,"3,833,727","2,714,218","2,575,229","138,989"
Massachusetts,1995,10,"4,758,305","3,215,872","3,051,280","164,592"
Michigan,1995,10,"7,309,984","4,807,930","4,565,380","242,550"
Minnesota,1995,10,"3,504,954","2,614,576","2,518,567","96,009"
Mississippi,1995,10,"2,010,132","1,262,245","1,181,887","80,358"
Missouri,1995,10,"4,061,709","2,864,254","2,735,770","128,484"
Montana,1995,10,"659,639","445,699","420,087","25,612"
Nebraska,1995,10,"1,236,063","906,534","882,033","24,501"
Nevada,1995,10,"1,241,793","856,786","810,511","46,275"
New Hampshire,1995,10,"883,701","632,872","608,838","24,034"
New Jersey,1995,10,"6,211,476","4,132,549","3,867,877","264,672"
New Mexico,1995,10,"1,262,856","803,042","747,987","55,055"
New York,1995,10,"14,207,662","8,664,429","8,110,815","553,614"
New York city,1995,10,"5,939,401","3,308,001","3,031,530","276,471"
North Carolina,1995,10,"5,638,096","3,789,610","3,620,972","168,638"
North Dakota,1995,10,"480,039","343,297","332,543","10,754"
Ohio,1995,10,"8,497,056","5,614,038","5,328,824","285,214"
Oklahoma,1995,10,"2,462,215","1,559,133","1,488,270","70,863"
Oregon,1995,10,"2,463,935","1,681,904","1,597,670","84,234"
Pennsylvania,1995,10,"9,389,701","5,923,069","5,572,622","350,447"
Rhode Island,1995,10,"785,178","510,794","480,126","30,668"
South Carolina,1995,10,"2,825,458","1,866,870","1,766,491","100,379"
South Dakota,1995,10,"540,218","389,408","377,434","11,974"
Tennessee,1995,10,"4,098,655","2,738,695","2,593,827","144,868"
Texas,1995,10,"13,894,095","9,627,113","9,032,047","595,066"
Utah,1995,10,"1,420,389","1,019,434","985,194","34,240"
Vermont,1995,10,"449,706","321,318","307,385","13,933"
Virginia,1995,10,"5,003,935","3,431,794","3,272,666","159,128"
Washington,1995,10,"4,142,024","2,820,556","2,636,170","184,386"
West Virginia,1995,10,"1,435,354","788,383","725,158","63,225"
Wisconsin,1995,10,"3,922,884","2,896,035","2,786,090","109,945"
Wyoming,1995,10,"360,504","255,958","243,598","12,360"
Alabama,1995,11,"3,265,948","2,068,153","1,951,379","116,774"
Alaska,1995,11,"417,388","306,340","283,055","23,285"
Arizona,1995,11,"3,393,649","2,252,294","2,133,203","119,091"
Arkansas,1995,11,"1,923,236","1,245,323","1,183,791","61,532"
California,1995,11,"23,325,499","15,280,783","14,085,584","1,195,199"
Los Angeles County,1995,11,"6,684,738","4,293,287","3,933,344","359,943"
Colorado,1995,11,"2,922,403","2,146,808","2,057,165","89,643"
Connecticut,1995,11,"2,553,878","1,726,701","1,634,945","91,756"
Delaware,1995,11,"559,401","385,634","367,434","18,200"
District of Columbia,1995,11,"454,958","296,914","270,959","25,955"
Florida,1995,11,"11,426,221","7,072,625","6,681,065","391,560"
Georgia,1995,11,"5,509,772","3,713,490","3,534,185","179,305"
Hawaii,1995,11,"871,312","586,903","550,912","35,991"
Idaho,1995,11,"866,009","605,260","572,259","33,001"
Illinois,1995,11,"9,064,673","6,194,979","5,869,321","325,658"
Indiana,1995,11,"4,450,284","3,127,663","2,984,720","142,943"
Iowa,1995,11,"2,184,295","1,593,528","1,538,521","55,007"
Kansas,1995,11,"1,928,839","1,346,323","1,291,394","54,929"
Kentucky,1995,11,"2,969,534","1,854,845","1,753,225","101,620"
Louisiana,1995,11,"3,203,512","1,958,230","1,826,129","132,101"
Maine,1995,11,"958,355","645,391","609,027","36,364"
Maryland,1995,11,"3,836,552","2,714,176","2,574,419","139,757"
Massachusetts,1995,11,"4,761,295","3,215,081","3,053,214","161,867"
Michigan,1995,11,"7,316,683","4,808,112","4,569,466","238,646"
Minnesota,1995,11,"3,509,639","2,619,111","2,521,491","97,620"
Mississippi,1995,11,"2,012,234","1,261,022","1,181,397","79,625"
Missouri,1995,11,"4,065,290","2,864,012","2,736,952","127,060"
Montana,1995,11,"660,605","445,906","420,411","25,495"
Nebraska,1995,11,"1,237,307","907,626","882,935","24,691"
Nevada,1995,11,"1,246,719","859,721","813,579","46,142"
New Hampshire,1995,11,"884,796","633,337","609,530","23,807"
New Jersey,1995,11,"6,215,655","4,135,262","3,870,707","264,555"
New Mexico,1995,11,"1,265,069","804,225","748,114","56,111"
New York,1995,11,"14,210,743","8,665,220","8,115,847","549,373"
New York city,1995,11,"5,942,731","3,310,856","3,034,540","276,316"
North Carolina,1995,11,"5,648,583","3,800,611","3,630,068","170,543"
North Dakota,1995,11,"480,111","343,944","333,262","10,682"
Ohio,1995,11,"8,499,986","5,614,589","5,328,667","285,922"
Oklahoma,1995,11,"2,464,404","1,560,032","1,489,863","70,169"
Oregon,1995,11,"2,468,205","1,686,419","1,600,190","86,229"
Pennsylvania,1995,11,"9,392,311","5,926,351","5,575,087","351,264"
Rhode Island,1995,11,"785,666","510,914","480,717","30,197"
South Carolina,1995,11,"2,828,436","1,868,198","1,766,918","101,280"
South Dakota,1995,11,"541,307","389,836","377,734","12,102"
Tennessee,1995,11,"4,104,250","2,738,196","2,595,405","142,791"
Texas,1995,11,"13,914,696","9,632,220","9,039,498","592,722"
Utah,1995,11,"1,424,838","1,021,336","987,184","34,152"
Vermont,1995,11,"449,730","321,756","307,848","13,908"
Virginia,1995,11,"5,010,063","3,422,800","3,264,539","158,261"
Washington,1995,11,"4,148,267","2,823,432","2,639,429","184,003"
West Virginia,1995,11,"1,436,231","789,194","725,990","63,204"
Wisconsin,1995,11,"3,927,340","2,899,740","2,788,582","111,158"
Wyoming,1995,11,"360,525","256,104","243,771","12,333"
Alabama,1995,12,"3,267,750","2,067,044","1,952,949","114,095"
Alaska,1995,12,"418,379","306,874","283,324","23,550"
Arizona,1995,12,"3,403,433","2,254,477","2,134,283","120,194"
Arkansas,1995,12,"1,924,648","1,246,562","1,184,345","62,217"
California,1995,12,"23,337,590","15,281,262","14,091,747","1,189,515"
Los Angeles County,1995,12,"6,684,447","4,294,398","3,931,320","363,078"
Colorado,1995,12,"2,928,380","2,148,577","2,058,539","90,038"
Connecticut,1995,12,"2,554,341","1,726,643","1,635,059","91,584"
Delaware,1995,12,"560,477","385,623","366,826","18,797"
District of Columbia,1995,12,"455,324","295,855","270,206","25,649"
Florida,1995,12,"11,444,576","7,075,076","6,687,884","387,192"
Georgia,1995,12,"5,520,783","3,717,074","3,542,011","175,063"
Hawaii,1995,12,"871,443","588,063","551,836","36,227"
Idaho,1995,12,"868,009","606,616","573,491","33,125"
Illinois,1995,12,"9,068,922","6,197,805","5,870,953","326,852"
Indiana,1995,12,"4,453,852","3,121,867","2,979,375","142,492"
Iowa,1995,12,"2,185,623","1,595,479","1,540,003","55,476"
Kansas,1995,12,"1,929,851","1,346,011","1,291,173","54,838"
Kentucky,1995,12,"2,971,584","1,853,287","1,752,568","100,719"
Louisiana,1995,12,"3,205,533","1,959,805","1,826,901","132,904"
Maine,1995,12,"958,332","647,037","611,036","36,001"
Maryland,1995,12,"3,839,376","2,714,543","2,574,112","140,431"
Massachusetts,1995,12,"4,763,285","3,214,374","3,055,388","158,986"
Michigan,1995,12,"7,322,383","4,810,451","4,574,074","236,377"
Minnesota,1995,12,"3,513,324","2,624,187","2,524,356","99,831"
Mississippi,1995,12,"2,013,336","1,259,666","1,180,606","79,060"
Missouri,1995,12,"4,068,872","2,865,492","2,738,085","127,407"
Montana,1995,12,"661,571","446,185","420,885","25,300"
Nebraska,1995,12,"1,238,550","908,728","883,830","24,898"
Nevada,1995,12,"1,251,644","862,728","816,743","45,985"
New Hampshire,1995,12,"886,892","633,712","609,981","23,731"
New Jersey,1995,12,"6,219,833","4,139,211","3,873,859","265,352"
New Mexico,1995,12,"1,267,281","805,252","748,211","57,041"
New York,1995,12,"14,212,824","8,667,829","8,122,020","545,809"
New York city,1995,12,"5,945,461","3,314,788","3,037,911","276,877"
North Carolina,1995,12,"5,657,070","3,812,202","3,639,651","172,551"
North Dakota,1995,12,"481,183","344,470","333,862","10,608"
Ohio,1995,12,"8,502,915","5,613,439","5,328,054","285,385"
Oklahoma,1995,12,"2,466,593","1,561,058","1,491,717","69,341"
Oregon,1995,12,"2,472,476","1,691,764","1,603,112","88,652"
Pennsylvania,1995,12,"9,394,921","5,929,332","5,578,143","351,189"
Rhode Island,1995,12,"786,155","511,186","481,350","29,836"
South Carolina,1995,12,"2,831,414","1,869,282","1,767,077","102,205"
South Dakota,1995,12,"541,396","390,184","377,943","12,241"
Tennessee,1995,12,"4,110,845","2,738,406","2,597,255","141,151"
Texas,1995,12,"13,934,297","9,635,664","9,046,884","588,780"
Utah,1995,12,"1,428,286","1,023,117","988,860","34,257"
Vermont,1995,12,"450,755","322,201","308,297","13,904"
Virginia,1995,12,"5,015,191","3,413,457","3,256,934","156,523"
Washington,1995,12,"4,153,511","2,828,216","2,644,832","183,384"
West Virginia,1995,12,"1,436,107","789,960","726,822","63,138"
Wisconsin,1995,12,"3,930,795","2,903,798","2,792,154","111,644"
Wyoming,1995,12,"360,546","256,227","243,901","12,326"
Alabama,1996,1,"3,270,552","2,067,195","1,954,711","112,484"
Alaska,1996,1,"418,371","307,401","283,675","23,726"
Arizona,1996,1,"3,412,217","2,257,244","2,135,488","121,756"
Arkansas,1996,1,"1,927,059","1,247,123","1,184,140","62,983"
California,1996,1,"23,347,682","15,284,736","14,101,377","1,183,359"
Los Angeles County,1996,1,"6,683,756","4,294,815","3,929,029","365,786"
Colorado,1996,1,"2,934,358","2,150,136","2,059,492","90,644"
Connecticut,1996,1,"2,554,805","1,727,519","1,635,714","91,805"
Delaware,1996,1,"560,553","385,750","366,495","19,255"
District of Columbia,1996,1,"454,689","294,341","268,932","25,409"
Florida,1996,1,"11,462,931","7,079,505","6,697,131","382,374"
Georgia,1996,1,"5,530,794","3,723,010","3,551,048","171,962"
Hawaii,1996,1,"872,575","589,572","552,979","36,593"
Idaho,1996,1,"869,009","607,949","574,726","33,223"
Illinois,1996,1,"9,072,171","6,201,349","5,873,160","328,189"
Indiana,1996,1,"4,457,419","3,116,286","2,974,972","141,314"
Iowa,1996,1,"2,185,951","1,597,636","1,541,625","56,011"
Kansas,1996,1,"1,931,863","1,346,420","1,291,083","55,337"
Kentucky,1996,1,"2,973,634","1,852,859","1,752,646","100,213"
Louisiana,1996,1,"3,207,554","1,962,753","1,829,078","133,675"
Maine,1996,1,"959,309","648,716","612,962","35,754"
Maryland,1996,1,"3,842,201","2,715,919","2,575,188","140,731"
Massachusetts,1996,1,"4,765,275","3,214,839","3,058,598","156,241"
